,id,name,category
0,1,Silicone P.U.40 Tubo,2
1,2,Lixa Ferro 80 G,2
2,3,Cinturao De Inox,2
3,4,Fita De Poliester Enforca Gato,2
4,5,Reforma Compressor,3
5,6,Joelho De Ferro 2.1/2 Pol,2
6,7,"Torneira De Jardim 1/2"" ",2
7,8,"Eletrodo Revestido 3,25mm",2
8,9,Valvula Solenoide 5x2 Vias,2
9,10,"Eletrodo Revestido 2,5mm",2
10,11,Mangueira Pneumática 6mm,2
11,12,Correia Cinta Duas Lonas ,2
12,13,Tubos E Conexões 100 mm ( Pacote),2
13,14,Cavaletes Suporte P/ Tubo 100 mm,2
14,15,"Mangueira Garganta 1"" ",2
15,16,Conexões 60mm,2
16,17,Óleo Pneumático ,2
17,18,Adesivo Instantâneo ( Super Bond),2
18,19,Chapa De Alumínio ,2
19,20,Ferragens Construção Coluna E Base.,2
20,21,Fita De Nilon Preta,2
21,22,Lixa Ferro 400g,2
22,23,Oring 30x2 mm,2
23,24,Raspador Tipo Gaxeta 30x4 mm,2
24,25,Chapa Nylon Usinada,2
25,26,"Eletrodo Revestido Inox 3,25mm",2
26,27,Bóia Mecânica De Flutuador,2
27,28,Conexão PVC Tipo T 50 mm Soldável ,2
28,29,"Conexão PVC Tipo Adaptador 50 mm Soldável / 1/2"" Rosca ",2
29,30,Mangueira De Jardim Completa Com Conexões Clik E Esguicho ,2
30,31,Suporte Plástico Para Mangueira De Jardim ,2
31,32,Parafuso Fhilips 4x40mm ,2
32,33,Bucha Plástica 8mm ,2
33,34,"Dobradiça Gonzo 5/8""",2
34,35,Vedação Tipo Gaxeta Quadrada 30mm P.U.,2
35,36,Chapa PVC Usinado Conf Desenho ,2
36,37,Conexão PVC Tipo T 32mm Soldável ,2
37,38,Tubo PVC 32mm,2
38,39,Registro PVC 32mm Com Rosca ,2
39,40,Conexão PVC Tipo Adaptador 32mm,2
40,41,Registro PVC 50mm C Rosca ,2
41,42,Correia B 68 ,2
42,43,"Válvula Horizontal 3/4""",2
43,44,Chapa Ferro Conf Desenho ,2
44,45,Painel Elétrico Comando 3 Bombas,2
45,46,Tomada E Plug Para Cabo De Extensão,2
46,47,Contator 50 Ah,2
47,48,Caixa Plástica De Ligação,2
48,49,Mangueira Ar Comprimido 6mm,2
49,50,Conexão Reta Pneumática 6mm,2
50,51,esticador fabricação,2
51,52,convertedor de ferrugem,2
52,53,tinta acrílica,2
53,54,tinta,2
54,55,"pincel 2""",2
55,56,resina parda,2
56,57,acoplador de ponta de tanque,2
57,58,veda rosca,2
58,59,suporte sensor sob medida,2
59,60,"mangueira garganta 2""",2
60,61,"abraçadeira 2""",2
61,62,"dobradiça inox 3""",2
62,63,arrebite 6 mm,2
63,64,"joelho certo 1""",2
64,65,"tubo ferro 1""",2
65,66,lixa flap 80G,2
66,67,parafuso sextavado M8X10 com porca,2
67,68,mangueira pneumática 10 mm,2
68,69,"regulador de pressão 3/8"" com filtro e purgador automático",2
69,70,"adaptador pneumático 3/8"" rosca 10mm pressão",2
70,71,"joelho pneumático 3/8""",2
71,72,"registro pneumático 3/8""",2
72,73,"nipel de redução pneumático 1/2"" X 3/8""",2
73,74,conexão T pneumático 10mm,2
74,75,joelho pneumático 10mm,2
75,76,"nipel pneumático 3/8""",2
76,77,regulador de pressão 3/8 com purga,2
77,78,joelho 50mm soldável tigre,2
78,79,T 50 mm soldável tigre,2
79,80,registro 50 mm rosca tigre,2
80,81,adaptador 50 mm rosca / soldável tigre,2
81,82,joelho 50 mm soldável tigre,2
82,83,luva 50 mm soldável tigre,2
83,84,cano 50 mm soldável tigre,2
84,85,joelho PVC 32 mm soldável,2
85,86,redução PVC soldável 50--32 mm,2
86,87,protetor de correias 850 mm,3
87,88,conjunto de rosca extrusora,2
88,89,espigão inox 40 mm,2
89,90,registro PVC 40 mm com rosca,2
90,91,curva PVC 40 mm longa,2
91,92,luva PVC 40 mm rosca / soldável,2
92,93,luva PVC 40 mm soldável,2
93,94,joelho ferro 3/4 Tupi,2
94,95,nipel ferro 3/4 Tupi,2
95,96,solda mig (aplicada ),4
96,97,espelho para sensor,2
97,98,nipel PVC 32 mm,2
98,99,cano PVC 25 mm soldável,2
99,100,"abraçadeira 1.1/2"" inox",2
100,101,"tubo inox 1""",2
101,102,chapa inox 2 mm,2
102,103,tarugo tecnil 50 mm,2
103,104,tubo PVC 40 mm soldável,2
104,105,joelho PVC 40 mm soldável tigre,2
105,106,Flange PVC 40 mm,2
106,107,serra copo com base 40 mm,5
107,108,"boia de vareta 1"".",2
108,109,conexão PVC tipo adaptador 40 mm,2
109,110,conexão PVC tipo T 40 mm soldável,2
110,111,espuma expansiva,2
111,112,cola PVC alta fusão,2
112,113,serra para arco de serra,2
113,114,nipel de redução 40 / 32 mm,2
114,115,cano PVC 40 mm,2
115,116,redução PVC 40--32mm soldável,2
116,117,flange PVC 32 mm,2
117,118,"união metálica 1.1/4"" com junção de cobre",2
118,119,madeira / reciclagem / paletes,2
119,120,Mola 15X15 arame 2.5mm,2
120,121,peneira tipo redinha malha 0.25,2
121,122,compensado  200x200x5 mm,2
122,123,barbante pavio,2
123,124,"disco corte 4"" Esmerilhadeira",2
124,125,disco Flap 60g Esmerilhadeira,2
125,126,tinta amarelo segurança,2
